,"Baier, Matt  (608933) D, MAXPAY, Ops, R",OFF,,05,C8,05,R1,05,R1,05,C9,OFF,,OFF,,05,43,05,C4,05,C4,05,C4,05,C4,OFF,,OFF,,OFF,,OFF,,05,R1,05,R1,05,C8,05,C9,OFF,,OFF,,OFF,,05,C4,05,C4,05,C4,05,C4,OFF,,OFF,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bailey, Glenn  (878409) D",OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,21,,21,,21,,21,RC3,21,17,21,17,21,17,21,17,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,09,21,,21,,21,,21,17,21,17,21,17,21,17
,"Baird, Mitchell  (597187) D, E, P",OFF,,05,56,05,57,OFF,,OFF,,OFF,,OFF,,05,45,05,RC3,05,55,05,,OFF,,OFF,,OFF,,05,56,05,56,05,56,05,57,OFF,,OFF,,OFF,,OFF,,05,51,OFF,,05,14,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Baker, Sarah  (174231) D, L",05,79,OFF,,OFF,,OFF,,13,78,13,78,13,78,13,78,OFF,,OFF,,OFF,,05,78,05,78,05,78,05,78,OFF,,OFF,,OFF,,13,60,13,78,13,78,13,78,13,78,OFF,,OFF,,OFF,,05,78,05,78,05,78,05,78,OFF,
,,L,F,,,,,,,L,F,L,F,L,F,,,,,,,,,L,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,x,L,x,,
,"Ballard, Joshua  (718332) D, L",OFF,,OFF,,OFF,,05,24,05,24,05,24,05,24,OFF,,OFF,,OFF,,05,35,05,35,05,35,05,RC3,OFF,,OFF,,OFF,,OFF,,05,24,OFF,,05,24,05,24,OFF,,05,25,05,25,05,35,05,35,05,35,05,35,05,11,OFF,
,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Barber, Matt  (742530) A, D, J, L, MAXPAY, Ops",OFF,,OFF,,OFF,,05,C6,05,C7,05,C7,05,C7,OFF,,OFF,,OFF,,OFF,,13,C6,13,C7,13,C7,13,C7,13,08,OFF,,OFF,,05,C6,05,C7,05,C7,05,C7,05,42,OFF,,OFF,,OFF,,13,C6,13,C7,13,C7,13,C7,OFF,
,"Barkley, Camelia  (616226) A, D, E, J, MAXPAY, P, R",05,16,OFF,,OFF,,OFF,,05,R1,05,64,05,R2,05,37,OFF,,05,R2,13,R1,13,R1,13,RC3,OFF,,13,19,OFF,,OFF,,OFF,,05,R1,05,R1,OFF,,OFF,,OFF,,OFF,,OFF,,13,R1,13,R1,13,R1,13,27,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,R1,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Barry, Mark  (110871) A, D",13,A3,13,A3,13,A3,13,A3,OFF,,OFF,,OFF,,OFF,,OFF,,13,A1,13,A1,13,A1,13,A1,OFF,,OFF,,13,A3,13,A3,13,A3,13,A3,OFF,,OFF,,OFF,,OFF,,OFF,,13,A1,13,A1,13,A1,13,A1,OFF,,OFF,,13,A3
,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,
,"Barthule, Alex  (591757) D, P, R",OFF,,OFF,,13,R1,13,R1,13,R1,13,R1,OFF,,OFF,,13,30,OFF,,13,R2,13,R2,13,R2,13,R2,OFF,,OFF,,OFF,,13,R1,13,R1,13,R1,13,RC3,OFF,,OFF,,OFF,,OFF,,13,R2,13,R2,13,R2,13,R2,OFF,,OFF,
,"Bartlett, Mark  (390893) A, D, MAXPAY, Ops",13,A6,13,A6,13,A6,OFF,,OFF,,OFF,,05,A6,05,A6,05,A6,05,A6,OFF,,OFF,,OFF,,OFF,,13,A6,13,A6,13,A6,13,A6,OFF,,OFF,,OFF,,05,A6,05,A6,05,A6,05,A6,OFF,,OFF,,OFF,,OFF,,13,A6,13,A6
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bartoletta, Marco  (203669) D, J, L",13,12,13,12,13,12,13,12,OFF,,OFF,,OFF,,13,02,13,02,13,02,13,04,OFF,,OFF,,OFF,,OFF,,13,12,13,80,13,12,13,12,OFF,,OFF,,OFF,,13,02,13,02,13,02,13,04,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Beard, Leslie  (624226) D, E, P",05,65,05,67,05,67,OFF,,OFF,,OFF,,OFF,,05,52,05,52,05,52,OFF,,OFF,,OFF,,OFF,,05,RC3,05,65,05,67,05,67,OFF,,OFF,,OFF,,05,52,05,52,05,52,05,52,OFF,,OFF,,OFF,,OFF,,05,65,05,65
,,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bechtel, Christopher  (232707) D, L, Ops",OFF,,13,40,13,C2,13,19,13,19,13,19,13,19,13,06,13,RC3,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,,13,,13,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,,,,
,"Beck, Keriellen  (750560) D, L",OFF,,OFF,,OFF,,21,,21,,21,,21,09,OFF,,OFF,,OFF,,21,,21,,21,,21,11,OFF,,OFF,,OFF,,OFF,,21,,21,27,21,,21,,OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Becker, Robert  (367728) D, E, P",13,54,OFF,,OFF,,OFF,,05,54,05,54,05,RC3,OFF,,OFF,,OFF,,OFF,,OFF,,13,54,13,54,13,54,13,54,OFF,,OFF,,OFF,,05,54,05,54,05,54,05,54,OFF,,OFF,,OFF,,13,27,13,54,13,54,OFF,,13,54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,R,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Beckham, Murphy  (885427) D",13,,13,,13,,OFF,,OFF,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Bedford, Collin  (224947) D",13,43,13,43,13,43,OFF,,OFF,,OFF,,OFF,,OFF,,13,32,13,32,13,32,13,33,OFF,,13,08,13,RC3,13,43,13,43,13,43,OFF,,OFF,,OFF,,OFF,,OFF,,13,32,13,32,13,32,13,33,OFF,,OFF,,13,43,13,43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bednarz, Jack  (857470) D",13,,13,,OFF,,OFF,,OFF,,OFF,,13,42,13,42,13,42,13,43,OFF,,OFF,,OFF,,13,,13,,13,,13,,OFF,,OFF,,OFF,,OFF,,13,42,13,42,13,42,13,43,OFF,,OFF,,OFF,,13,,13,,13,
,"Berger, Teiva  (794819) D",OFF,,OFF,,OFF,,OFF,,OFF,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,
,"Berkebile, Eric  (395409) D, L, MAX",13,62,13,62,13,62,13,62,OFF,,OFF,,OFF,,OFF,,13,78,13,78,13,78,13,78,OFF,,OFF,,OFF,,13,62,13,62,13,62,13,62,OFF,,OFF,,OFF,,OFF,,13,78,13,78,13,78,13,RCL,OFF,,OFF,,OFF,,13,62
,,,,,,,,L,V,,,,,,,,,,,,,L,V,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,L,V,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bernal, Tabatha  (763999) D, E, J, P",OFF,,OFF,,05,29,05,,05,49,OFF,,05,64,OFF,,05,16,OFF,,OFF,,OFF,,OFF,,05,51,OFF,,05,51,05,,05,,05,20,OFF,,05,52,OFF,,05,66,05,54,05,55,05,27,OFF,,05,04,OFF,,05,51,05,39
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bickler, Marla  (655248) D",OFF,,OFF,,OFF,,OFF,,OFF,,13,13,13,13,13,13,13,13,OFF,,OFF,,OFF,,13,13,13,13,13,13,13,RC3,13,30,OFF,,OFF,,OFF,,13,13,13,13,13,13,13,13,13,22,OFF,,OFF,,13,13,13,13,13,13,13,13
,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bilberry, Caleb  (844695) D",OFF,,OFF,,OFF,,OFF,,OFF,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Billings, Donald  (485850) A, D, MAXPAY, S",05,A3,05,A6,05,A6,05,A6,05,A4,05,A4,05,A4,OFF,,OFF,,OFF,,OFF,,05,A3,13,A4,13,A4,13,A4,13,A4,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,A3,13,A6,13,A6,13,A6,13,A4,13,A4,13,RCC,13,A4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Birkner, Jennifer   (624242) A, D, J, L, MAXPAY, Ops, P",OFF,,OFF,,05,C9,05,C9,05,C10,05,C10,OFF,,OFF,,OFF,,OFF,,05,C2,05,C2,05,C2,05,RC3,OFF,,OFF,,OFF,,05,C9,05,C9,05,C10,05,C10,OFF,,OFF,,OFF,,OFF,,05,C2,05,C2,05,C2,05,C2,OFF,,OFF,
,"Black, Bree  (717407) D, E",OFF,,13,33,13,33,13,33,13,33,OFF,,OFF,,OFF,,OFF,,13,34,13,34,13,34,13,34,OFF,,OFF,,OFF,,13,33,13,33,13,33,13,33,OFF,,OFF,,OFF,,OFF,,13,34,13,34,13,34,13,34,OFF,,OFF,,OFF,
,,,,,,,,,,L,V,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Blair, Deangelo  (233482) D, E, L, P",21,78,21,78,21,78,21,,OFF,,OFF,,OFF,,21,RC3,21,78,21,78,21,78,21,48,OFF,,OFF,,OFF,,21,78,21,78,21,78,21,53,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,RCL,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,L,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Blair, Rachel  (234866) D, L",05,RC3,OFF,,OFF,,05,17,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,,05,,OFF,,OFF,,OFF,,05,25,05,16,05,16,05,17,OFF,,OFF,,OFF,,OFF,,05,,05,,05,,05,,OFF,,OFF,,OFF,,05,16
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Blatz, Brian  (151524) D, E, P",21,49,21,49,21,49,21,49,21,50,21,49,OFF,,OFF,,21,50,21,65,21,65,21,65,21,49,21,49,21,49,OFF,,OFF,,OFF,,OFF,,21,49,21,49,21,49,21,49,21,49,OFF,,OFF,,OFF,,21,49,21,49,21,49,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Blount, Bryan  (460670) D, E, J, MAX, Ops",OFF,,OFF,,05,52,05,52,05,52,05,52,05,50,05,50,OFF,,OFF,,OFF,,05,57,05,57,05,57,05,57,OFF,,OFF,,05,52,05,52,05,52,05,RC3,OFF,,OFF,,OFF,,OFF,,05,,05,57,05,57,05,C4,05,C8,OFF,
,"Blue, Deanna  (567560) D, J, L, MAX, Ops, S",OFF,,OFF,,13,C10,13,C7,13,C3,13,C9,OFF,,OFF,,OFF,,13,C3,13,C3,13,77,13,C9,OFF,,OFF,,OFF,,OFF,,13,C1,13,C1,13,C1,13,S1,OFF,,OFF,,13,09,13,C10,13,C10,13,RCL,13,01,OFF,,OFF,,OFF,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Blume, William  (208290) D, E, MAX",21,57,21,57,21,57,21,57,21,,21,51,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,57,21,57,21,57,21,57,21,57,21,RC3,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,21,57,21,29,21,53,21,53
,"Bodrie, Alex  (201127) A, D, I, Ops",OFF,,OFF,,OFF,,13,C6,13,C6,13,C6,13,C6,OFF,,OFF,,OFF,,OFF,,13,C3,13,C3,13,C3,13,C3,OFF,,OFF,,OFF,,13,C6,13,C6,13,C6,13,C6,OFF,,OFF,,OFF,,OFF,,13,C3,13,C3,13,IL ,13,C3,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,
,"Bodrie, Ashleigh  (761872) D, MAXX, Ops",21,C6,21,C6,21,,OFF,,OFF,,OFF,,21,RC3,21,C6,21,C6,21,C6,OFF,,OFF,,OFF,,OFF,,21,C6,21,C6,21,C6,21,,OFF,,OFF,,OFF,,21,C6,21,C6,21,C6,21,C6,OFF,,OFF,,OFF,,OFF,,21,C6,21,C6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,
,"Bodrie, Max  (729213) D, L",21,13,21,15,21,15,21,15,OFF,,OFF,,OFF,,21,09,OFF,,OFF,,21,15,21,RC3,OFF,,OFF,,OFF,,21,13,21,15,21,15,21,15,OFF,,OFF,,OFF,,OFF,,21,13,21,15,21,15,21,15,OFF,,OFF,,OFF,,21,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,,,,,,,,,,,,,,,,
,"Boles, Sarah  (263550) D",OFF,,05,42,05,42,05,42,05,42,05,26,05,26,05,26,05,26,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,42,05,42,05,42,05,42,05,42,05,26,05,26,05,26,05,26,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Boor, Karina  (603379) A, D, E, MAXX",13,A4,13,A4,13,A4,13,A4,13,A4,OFF,,13,A5,13,A6,13,RC3,13,A1,13,A1,OFF,,OFF,,OFF,,OFF,,13,20,13,A4,OFF,,13,A4,13,A4,OFF,,OFF,,13,A6,13,A6,13,A1,13,A5,OFF,,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bories, Brett  (231296) D",OFF,,OFF,,OFF,,OFF,,OFF,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,
,"Boudreaux, Jason  (878578) D",13,,13,,13,,13,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,
,"Boulet, Samuel  (231240) NO QUALIFICATIONS",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Bova, Daniel  (757755) D, E, P",OFF,,13,RC3,13,55,13,55,13,48,OFF,,OFF,,OFF,,13,57,13,57,13,51,13,65,OFF,,OFF,,OFF,,13,,OFF,,13,,13,35,13,31,OFF,,OFF,,OFF,,13,57,13,57,13,67,13,57,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Bowles, Connor  (743885) D, L",OFF,,OFF,,OFF,,13,79,13,15,13,13,13,13,OFF,,OFF,,OFF,,05,,05,31,05,23,05,10,13,39,13,39,13,39,13,39,13,,13,,13,76,13,,OFF,,OFF,,OFF,,05,,05,,05,45,05,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,
Name (ID) Qualification,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Sep,,Oct,,Oct,,Oct,
,,03,,04,,05,,06,,07,,08,,09,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,23,,24,,25,,26,,27,,28,,29,,30,,01,,02,,03,
,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,,Sun,,Mon,,Tue,,Wed,,Thu,,Fri,,Sat,
,"Bowser, Denny  (110791) D",OFF,,OFF,,05,07,05,07,05,07,05,07,OFF,,OFF,,OFF,,05,06,05,06,05,06,05,06,OFF,,OFF,,OFF,,OFF,,05,07,05,07,05,07,05,RC3,OFF,,OFF,,OFF,,05,06,05,06,05,06,05,06,OFF,,OFF,,OFF,
,"Boxen, Ron  (484747) D",05,08,05,10,05,10,05,10,05,10,05,14,05,14,05,14,05,14,05,10,05,10,05,10,05,RC3,OFF,,05,35,05,35,05,10,05,10,05,10,05,10,OFF,,OFF,,OFF,,OFF,,05,10,05,10,05,10,05,10,OFF,,OFF,,05,44
,"Boydston, Kevin  (856544) D, E, P",OFF,,21,48,21,48,21,48,21,49,OFF,,OFF,,OFF,,21,48,21,48,OFF,,21,48,OFF,,OFF,,OFF,,OFF,,21,48,21,48,21,48,21,RC3,OFF,,OFF,,OFF,,21,48,21,48,21,48,21,48,OFF,,OFF,,OFF,,OFF,
,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Boyett, Tiffany  (893593) D",OFF,,OFF,,OFF,,OFF,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,,05,
,,,,,,,,,,,,,,,,,,L,V,,,L,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Boynton, Joshua  (843857) A, D, J, MAXPAY, Ops, P",OFF,,OFF,,OFF,,OFF,,OFF,,13,C4,13,C4,13,C4,13,RC3,13,C1,13,C1,13,C1,13,C1,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,13,C4,13,C4,13,C4,13,C4,13,C1,13,C1,13,C1,13,C1,OFF,,OFF,,OFF,
,"Bradley, Mark  (757632) A, D, E, J, L, P",21,,21,,21,,OFF,,OFF,,21,21,OFF,,21,RC3,21,,21,,21,,OFF,,OFF,,OFF,,21,,21,,21,,21,,OFF,,OFF,,OFF,,OFF,,21,,21,,21,,21,,21,27,OFF,,21,RCL,21,,21,
,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,
,"Brady, Mikle Timothy  (213469) D, E, L",05,01,05,04,OFF,,OFF,,OFF,,OFF,,05,07,05,07,05,07,05,07,OFF,,OFF,,OFF,,05,01,05,51,05,01,05,04,OFF,,OFF,,OFF,,OFF,,05,07,05,07,05,07,05,07,OFF,,OFF,,OFF,,05,01,05,01,05,51
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,,,,
,"Branco, Jon  (620539) D, E, J, L",13,48,13,RC3,OFF,,OFF,,OFF,,13,61,13,60,13,60,13,60,13,61,OFF,,OFF,,OFF,,13,,13,,13,,13,,OFF,,OFF,,OFF,,OFF,,13,60,13,60,13,60,13,61,OFF,,OFF,,OFF,,13,50,13,50,13,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,V,L,V,L,V,L,V,,,,,,,,,L,V,,,,,,,,,,,,,,,,,,
,"Breuer, Christopher  (291444) D, J, L",OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,35,05,RC3,05,35,OFF,,05,81,05,81,05,,05,,OFF,,OFF,,OFF,,OFF,,OFF,,OFF,,05,35,05,35,05,35,05,35,05,60,05,,05,81,05,,05,,OFF,
